Iteration,L1_loss,Feature_loss,MS_SSIM,Iter_LR
100,0.24566709995269775,-1,0.48411184549331665,0.0001
200,0.17069189250469208,-1,0.4380791187286377,0.0001
300,0.12186171859502792,-1,0.3577898144721985,0.0001
400,0.09902402013540268,-1,0.287015438079834,0.0001
500,0.08751942962408066,-1,0.23618298768997192,0.0001
600,0.08005248755216599,-1,0.2047622799873352,0.0001
700,0.07661983370780945,-1,0.18668198585510254,0.0001
800,0.06953465193510056,-1,0.1741933822631836,0.0001
900,0.06692519783973694,-1,0.1638956069946289,0.0001
1000,0.06329403817653656,-1,0.15759682655334473,0.0001
1100,0.05963718891143799,-1,0.15240776538848877,0.0001
1200,0.05522240698337555,-1,0.1445983648300171,0.0001
1300,0.05160115286707878,-1,0.13883334398269653,0.0001
1400,0.049643874168395996,-1,0.13674479722976685,0.0001
1500,0.046573713421821594,-1,0.13188230991363525,0.0001
1600,0.0462406687438488,-1,0.1318436861038208,0.0001
1700,0.04511883109807968,-1,0.1272624135017395,0.0001
1800,0.044174447655677795,-1,0.12637978792190552,0.0001
1900,0.04359528049826622,-1,0.12331295013427734,0.0001
2000,0.041991084814071655,-1,0.1201486587524414,0.0001
2100,0.042173516005277634,-1,0.1206810474395752,0.0001
2200,0.04280081391334534,-1,0.12053906917572021,0.0001
2300,0.04046855494379997,-1,0.1161389946937561,0.0001
2400,0.04033906012773514,-1,0.11493873596191406,0.0001
2500,0.04068659245967865,-1,0.11419779062271118,0.0001
2600,0.03914400190114975,-1,0.11195766925811768,0.0001
2700,0.03920049965381622,-1,0.11202096939086914,0.0001
2800,0.038598209619522095,-1,0.11080276966094971,0.0001
2900,0.039089351892471313,-1,0.10901868343353271,0.0001
3000,0.037347666919231415,-1,0.10785782337188721,0.0001
3100,0.03788883239030838,-1,0.10876989364624023,0.0001
3200,0.03753732144832611,-1,0.10618531703948975,0.0001
3300,0.038767363876104355,-1,0.11095356941223145,0.0001
3400,0.036017339676618576,-1,0.10427916049957275,0.0001
3500,0.03631679341197014,-1,0.10375291109085083,0.0001
3600,0.036246996372938156,-1,0.10236454010009766,0.0001
