PSNR,SSIM,Colorfulness_pred,Colorfulness_gt
21.39084037135956,0.775677293625786,0,0
15.44548074888672,0.48590189519325855,0,0
14.528829003144226,0.2672971759323462,0,0
22.065612920371322,0.4953596609239221,0,0
16.657278043287437,0.23069870991789368,0,0
13.68748699333909,0.5204959221565194,0,0
24.930819357943538,0.7123032380892876,0,0
19.896070989202233,0.548847305929519,0,0
21.340923418811684,0.49851937634546556,0,0
25.76284789458316,0.7543864575980858,0,0
18.387341154744018,0.4815286429895285,0,0
18.831901338071177,0.408321889355496,0,0
23.540679609012237,0.7817772916048339,0,0
18.486522205867033,0.6390621339194308,0,0
26.164762047034507,0.8751661841785565,0,0
18.609049192179818,0.43099728514251606,0,0
16.959379811597202,0.4793192120810534,0,0
22.167969485096,0.5720388283360883,0,0
22.494757145913404,0.6189816348621104,0,0
21.97411427307167,0.6243250080923172,0,0
21.443536234235715,0.5187470533347008,0,0
17.626457482860015,0.6617802530211613,0,0
21.961156661554917,0.5013114739143011,0,0
23.885982455548735,0.7138500184002115,0,0
19.40081468065668,0.7008288700640425,0,0
21.354906759789024,0.4155262569691151,0,0
19.55919789987029,0.6124333064452483,0,0
22.053633333422695,0.6216374691641655,0,0
25.759119275648136,0.6831689126257295,0,0
20.9221887097828,0.4601028809244864,0,0
20.52806725948798,0.4779678996794769,0,0
13.080722455188143,0.2639987924119214,0,0
21.887126173811843,0.7030832566022482,0,0
17.30673339104609,0.37768606902909524,0,0
21.586196632157346,0.6235295354661013,0,0
16.253677388507278,0.5976864423770242,0,0
17.799507327491185,0.48932099637689214,0,0
22.774371645871106,0.6777627457270591,0,0
18.46560585278106,0.7227392631714079,0,0
17.76154689499809,0.5141598396102959,0,0
23.343369252131552,0.5027402984514057,0,0
24.51817053275981,0.7289810528792616,0,0
21.884417574716064,0.6382886440472144,0,0
17.502688240523334,0.473883977155861,0,0
23.592372002843046,0.6555625011795988,0,0
19.175164629543602,0.6806956917733785,0,0
23.113680365754234,0.8025490535949631,0,0
21.36518750173801,0.6168944002519664,0,0
15.644569316340373,0.25404817575382826,0,0
25.036613484485677,0.6837219170303394,0,0
